PLAYER	NOTE
Jahmyr Gibbs	1.02 TAKE THE BACK. +164 VBD, biggest edge in the draft. Bijan if Gibbs gone.
Bijan Robinson	1.02 TAKE THE BACK. +164 VBD. Handcuff is Brian Robinson Jr (R14).
Amon-Ra St. Brown	Only WR Nick breaks RB-RB for -- and ONLY outside top 4. You pick 1.02, so NOT you.
Brock Bowers	THE PICK IF HE FALLS TO 2.09. +57.9 over the best back. NEVER at 1.02 (-81.8).
Tyler Warren	BOWERS FALLBACK. +44.7 at ADP 59 = your 6.09. Take him if Bowers went.
Chase Brown	TAKE ZONE + must-draft. Full-PPR pick per Nick; Walker edges him in your half-PPR.
Saquon Barkley	TAKE ZONE. Nick's #1 R2 back. Playoff-SOS knock does NOT apply -- RPB has no playoffs.
Parker Washington	BIGGEST EDGE. Punt returner: 5th in NFL ret yds, LED league in ret TDs. RPB pays that, FFA doesn't. +34 pts nobody prices. Take 6.09.
Derrick Henry	TAKE ZONE but take him LAST of the five. Watch, not a buy -- declining targets.
Omarion Hampton	TAKE ZONE. If you get him, Keaton Mitchell (R14) is the handcuff double-dip.
Josh Allen	Highest raw total (420) and it does not matter -- only +30 over the QB you get anyway. NEVER before R4.
Joe Burrow	7.02 QB. Your 0.05/yd passing favours pocket arms. 20.2 hppr/wk.
Zay Flowers	MWV ONLY. TD caps hurt him in half-PPR. Do NOT draft at rank in RPB.
Kyren Williams	DEAD ZONE. Corum could take 50/50. Volume is perceived, not locked.
Mike Evans	5.02. Half-PPR format split IN YOUR FAVOUR -- Nick fades him in full PPR, buys at 0.5.
George Kittle	Late TE door. +17.6 at ADP 107 = your 11.02. Only if Bowers AND Warren gone.
Justin Herbert	7.02 QB fallback. Same 20.2 hppr/wk as Burrow. ADP 74 -- he lasts.
Breece Hall	Nick MOVED HIM DOWN in half PPR too. Edge of the dead zone. Don't pay R3 price.
David Montgomery	Replaces Etienne's old role and better. ADP 55 -- will NOT reach 7.02. Take 6.09 if only 1 RB.
Lamar Jackson	Ceiling QB but RPB de-values rushing QBs. Fell QB2 -> QB6 under your scoring.
Dallas Goedert	Must-draft TE at ADP 125. AJ Brown's exit frees 120+ targets. Pure insurance.
Javonte Williams	DEAD ZONE. Zero receiving role. Priced like more than he is.
Jayden Daniels	CONFLICT in Nick's notes -- newer camp news downgrades him (WAS cutting no-huddle). Recency wins.
Travis Etienne Jr.	Your OLD keeper, now in the pool. Exactly replacement level (-0.2). New Orleans in 2026.
Bucky Irving	Nick's #1 REGRET back. Committee + injury. ADP 56, worth #76. Let him go.
Tony Pollard	Must-draft but BELOW replacement (-24.9). R8 upside only, never a reach.
Jonathon Brooks	Backs up Chuba Hubbard (Nick SHY). Graded standalone value. R9-10 discount.
Jayden Higgins	Starting Z opposite Nico Collins, who has missed time every year. R12-13 contingent upside.
Jordan Mason	Must-draft but -70.8. Lead back reports, Aaron Jones fading. Late dart only.
Kenneth Gainwell	ADP 343, worth #136. Free handcuff -- the biggest ADP gap on the board.
Keaton Mitchell	Hampton's handcuff AND must-draft -- the only double-dip. Take ONLY if you got Hampton.
Travis Hunter	Nick calls him a last-round STEAL. Highest TPRR upside on the board.
Cameron Dicker	16.09. Nick is 70th of 150+ at kicker. Take a good offense's leg and stop thinking.
